Market,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Akron - OH,70075.4609375,70464.546875,70901.828125,71401.9375,71903.7265625,72429.46875,73028.1484375,73696.6796875,74404.3203125,75200.8984375,76011.1484375,76801.1015625,77578.2265625,78293.7734375,79008.65625,79729.046875,80467.4609375,81226.6875,81993.78125,82754.21875,83508.2734375,84255.640625,84993.046875,85728.6015625,86460.3671875,87193.8203125,87931.7421875,88672.0703125,89418.1875,90162.390625,90907.828125,91663.8984375,92417.6875,93170.9765625,93917.8671875,94655.8515625,95397.1328125,96144.03125,96897.8984375,97653.03125,98407.9296875
Albany - NY,92990.1796875,93928.6875,94851.828125,95877.25,96884.3203125,97886.703125,98927.0078125,99905.96875,100888.03125,101935.7109375,102981.3671875,104033.4296875,105065.46875,106029.703125,106989.703125,107959.0234375,108948.6015625,109958.7265625,110978.7890625,111993.03125,113001.59375,114005.546875,114997.953125,115987.9296875,116972.0625,117955.7578125,118944.46875,119936.1171875,120934.953125,121933.359375,122934.4296875,123948.5078125,124961.5625,125973.96875,126980.0703125,127971.0390625,128964.09375,129963.3203125,130968.8984375,131975.984375,132983.859375
Albuquerque - NM,72573.0234375,73044.3515625,73542.671875,74086.6015625,74640.8515625,75233.34375,75902.21875,76638.7421875,77419.90625,78293.5078125,79185.421875,80059.3515625,80922.34375,81728.4296875,82535.9296875,83350.4921875,84186.0625,85043.21875,85910.2890625,86774.7734375,87634.8828125,88492.75,89343.640625,90194.109375,91042.578125,91893.1171875,92749.5,93609.546875,94477.7109375,95346.4375,96219.0,97106.8203125,97993.953125,98880.0,99759.3984375,100625.203125,101493.703125,102368.109375,103249.109375,104131.0625,105012.7734375
Anchorage - AK,102847.390625,103655.9296875,104514.1875,105439.34375,106335.4765625,107232.9921875,108176.046875,109105.421875,110050.1875,111077.828125,112104.953125,113128.7890625,114130.3671875,115051.3671875,115971.5078125,116900.6796875,117850.5234375,118822.4296875,119801.3125,120772.921875,121738.890625,122700.5703125,123649.75,124599.3125,125542.59375,126488.25,127440.921875,128393.671875,129353.0390625,130308.9296875,131265.953125,132236.015625,133203.421875,134168.84375,135125.734375,136070.28125,137018.65625,137974.078125,138937.015625,139899.359375,140859.734375
Asheville - NC,76139.4921875,76801.96875,77441.25,78201.7421875,78949.9609375,79695.546875,80487.2265625,81248.7421875,82020.1875,82857.71875,83697.5390625,84540.7734375,85369.90625,86139.328125,86907.546875,87682.2109375,88473.078125,89283.15625,90102.3984375,90918.1875,91732.8125,92546.6171875,93353.1875,94161.328125,94964.84375,95768.546875,96576.46875,97384.890625,98200.25,99015.3671875,99833.359375,100665.3828125,101496.1328125,102325.4296875,103147.28125,103953.8515625,104760.2265625,105569.96875,106384.3125,107198.8671875,108013.078125
Atlanta - GA,91229.7421875,91938.4375,92736.7578125,93566.2265625,94381.8125,95206.7890625,96087.890625,97011.2421875,97961.5,98986.25,100017.296875,101029.6484375,102023.6796875,102955.8828125,103884.1484375,104815.53125,105762.0703125,106726.8828125,107697.546875,108661.640625,109619.609375,110571.1171875,111511.7265625,112449.609375,113382.65625,114315.0703125,115250.4296875,116185.640625,117125.6875,118063.859375,119003.53125,119955.5078125,120905.3515625,121854.078125,122796.25,123726.2578125,124658.796875,125597.796875,126544.1484375,127493.8203125,128445.8125
Augusta - GA,70232.84375,70696.6875,71222.96875,71844.3125,72475.953125,73128.3671875,73826.1796875,74535.796875,75267.90625,76054.03125,76852.09375,77649.609375,78440.2734375,79195.7890625,79950.7734375,80708.75,81481.6328125,82270.3515625,83066.171875,83860.5234375,84653.7265625,85447.578125,86237.4609375,87028.8203125,87817.9609375,88606.359375,89399.7890625,90197.0625,91001.2890625,91809.203125,92621.2578125,93448.3203125,94275.2109375,95099.7890625,95917.0390625,96713.09375,97507.203125,98302.6328125,99100.890625,99898.703125,100696.296875
Austin - TX,99983.28125,101153.796875,102326.75,103507.2890625,104643.15625,105752.5625,106918.2578125,108059.140625,109204.0078125,110455.7890625,111697.6875,112912.3515625,114077.359375,115110.34375,116119.9375,117139.28125,118183.1875,119258.5,120345.359375,121422.453125,122487.6015625,123540.828125,124575.8515625,125601.0625,126616.671875,127629.5078125,128643.390625,129659.03125,130681.9765625,131700.84375,132720.5625,133751.34375,134779.859375,135811.3125,136839.5625,137869.75,138911.703125,139968.34375,141039.5625,142116.765625,143197.09375
Bakersfield - CA,73769.5234375,74246.0,74722.6171875,75303.65625,75895.25,76512.7421875,77203.421875,77966.1875,78770.90625,79662.0078125,80571.140625,81463.2734375,82344.1796875,83170.59375,83996.65625,84828.3828125,85681.671875,86559.953125,87449.7109375,88335.34375,89217.0625,90095.7890625,90967.2421875,91839.59375,92709.390625,93580.78125,94457.3984375,95338.359375,96226.2578125,97115.0234375,98008.3984375,98914.8515625,99821.25,100727.359375,101628.0234375,102516.6484375,103409.28125,104308.8515625,105215.7109375,106125.0703125,107035.21875
Baltimore - MD,99063.59375,99650.1015625,100320.3515625,101053.640625,101791.078125,102556.09375,103393.7890625,104286.453125,105222.8125,106244.2109375,107287.5390625,108331.6796875,109375.1796875,110377.9609375,111378.4375,112379.1484375,113387.1796875,114401.7578125,115422.25,116438.0625,117451.7421875,118464.046875,119469.28125,120474.671875,121474.328125,122472.578125,123474.46875,124476.3671875,125485.5390625,126495.109375,127507.65625,128534.4609375,129559.8125,130584.28125,131601.6875,132601.8125,133603.40625,134610.015625,135623.609375,136639.4375,137656.234375
